Hebron,Tubas,125.85
Rafah,Ramallah,674.4
Qalqilyah,Baytuniya,71.8
AlBirah,AbuDis,23.41
Jenin,Jericho,103
Ramallah,Baytuniya,4.46
Bethlehem,Qalqilyah,83.18
Nabulus,Salfit,25.39
Qabatiyah,Tubas,15.43
BaytJala,Nabulus,80.8
Tubas,Jericho,83.98
Baytuniya,Tubas,73.41
AbuDis,Hebron,44.81
Jericho,Salfit,55.68
Salfit,Tubas,40.65
Hebron,AlBirah,61.03
Rafah,Qalqilyah,712.53
Qalqilyah,Jenin,65.63
AlBirah,Tubas,68.27
Jenin,Hebron,165.78
Ramallah,Rafah,591.34
Bethlehem,Rafah,569.14
Nabulus,Qalqilyah,31.98
Qabatiyah,Qalqilyah,57.92
BaytJala,Ramallah,27.82
Tubas,Jericho,83.98
Baytuniya,Jenin,120.89
AbuDis,Nabulus,69.69
Jericho,Jenin,103.22
Salfit,Hebron,120.41
Hebron,Baytuniya,64.39
Rafah,AbuDis,662.71
Qalqilyah,AlBirah,74.54
AlBirah,Jericho,39.15 
Jenin,Bethlehem,139.28
Ramallah,Jericho,41.47
Bethlehem,Jericho,50.78
Nabulus,BaytJala,113.62
Qabatiyah,Qalqilyah,57.92
BaytJala,Nabulus,80.8
Tubas,Hebron,125.8
Baytuniya,Jenin,120.89
AbuDis,Baytuniya,26.68
Jericho,AlBirah,39.27
Salfit,Qabatiyah,59.62
Hebron,AbuDis,47.18
Rafah,Tubas,729.89
Qalqilyah,Ramallah,73.2
AlBirah,Bethlehem,33.75
Jenin,AbuDis,113.01
Ramallah,Rafah,591.34
Bethlehem,Jericho,50.78
Nabulus,Ramallah,54.43
Qabatiyah,Ramallah,89.86
BaytJala,Qabatiyah,134.1
Tubas,Qalqilyah,69.99
Baytuniya,Hebron,55.08
AbuDis,Rafah,578.16
Jericho,Tubas,84.02
Salfit,Baytuniya,40.24
Hebron,Qabatiyah,155.03
Rafah,Jericho,569.9
Qalqilyah,Ramallah,73.2
AlBirah,Baytuniya,6.72
Jenin,Tubas,19.11
Ramallah,Tubas,69.65
Bethlehem,Jenin,140.11
Nabulus,Ramallah,54.43
Qabatiyah,Tubas,15.43
BaytJala,AbuDis,23.18
Tubas,Nabulus,21.96
Baytuniya,Tubas,73.41
AbuDis,Rafah,578.16
Jericho,AbuDis,32
Salfit,AbuDis,57.42
Hebron,Bethlehem,26.63
Rafah,Qabatiyah,761.61
Qalqilyah,Hebron,108.9
AlBirah,Baytuniya,6.72
Jenin,AbuDis,113.01
Ramallah,AbuDis,24.49
Bethlehem,Salfit,69.16
Nabulus,Hebron,132.21
Qabatiyah,Tubas,15.43
BaytJala,Rafah,102.68
Tubas,Jericho,83.98
Baytuniya,BaytJala,36.49
AbuDis,Salfit,59.89
Jericho,Hebron,72.99
Salfit,Hebron,120.41
Hebron,Tubas,125.85
Rafah,Qalqilyah,712.53
Qalqilyah,Ramallah,73.2
AlBirah,Qalqilyah,68.35
Jenin,Tubas,19.11
Ramallah,AbuDis,24.49
Bethlehem,Tubas,94.42
Nabulus,Hebron,132.21 
Qabatiyah,Jenin,8.62
Bayt Jala,Jericho,51.83
